Wavelength (nm),10mm Absorbance
220,0.967
220.5,0.937
221,0.915
221.5,0.895
222,0.872
222.5,0.85
223,0.828
223.5,0.808
224,0.786
224.5,0.767
225,0.744
225.5,0.727
226,0.714
226.5,0.706
227,0.696
227.5,0.688
228,0.68
228.5,0.673
229,0.666
229.5,0.661
230,0.656
230.5,0.652
231,0.647
231.5,0.642
232,0.636
232.5,0.631
233,0.626
233.5,0.62
234,0.615
234.5,0.612
235,0.61
235.5,0.611
236,0.611
236.5,0.614
237,0.617
237.5,0.621
238,0.627
238.5,0.634
239,0.641
239.5,0.649
240,0.657
240.5,0.664
241,0.669
241.5,0.674
242,0.679
242.5,0.685
243,0.692
243.5,0.701
244,0.71
244.5,0.718
245,0.726
245.5,0.734
246,0.742
246.5,0.75
247,0.756
247.5,0.764
248,0.771
248.5,0.778
249,0.785
249.5,0.793
250,0.8
250.5,0.805
251,0.812
251.5,0.818
252,0.824
252.5,0.828
253,0.832
253.5,0.836
254,0.839
254.5,0.844
255,0.845
255.5,0.846
256,0.848
256.5,0.848
257,0.845
257.5,0.843
258,0.841
258.5,0.839
259,0.837
259.5,0.834
260,0.833
260.5,0.831
261,0.83
261.5,0.826
262,0.823
262.5,0.819
263,0.815
263.5,0.809
264,0.802
264.5,0.794
265,0.785
265.5,0.776
266,0.767
266.5,0.759
267,0.751
267.5,0.74
268,0.73
268.5,0.72
269,0.711
269.5,0.701
270,0.692
270.5,0.682
271,0.672
271.5,0.663
272,0.653
272.5,0.643
273,0.632
273.5,0.621
274,0.609
274.5,0.599
275,0.589
275.5,0.577
276,0.563
276.5,0.55
277,0.537
277.5,0.522
278,0.508
278.5,0.495
279,0.479
279.5,0.466
280,0.454
280.5,0.441
281,0.429
281.5,0.418
282,0.404
282.5,0.391
283,0.379
283.5,0.368
284,0.355
284.5,0.343
285,0.333
285.5,0.322
286,0.311
286.5,0.3
287,0.287
287.5,0.273
288,0.261
288.5,0.249
289,0.237
289.5,0.225
290,0.213
290.5,0.2
291,0.187
291.5,0.174
292,0.163
292.5,0.151
293,0.141
293.5,0.132
294,0.122
294.5,0.113
295,0.104
295.5,0.095
296,0.086
296.5,0.079
297,0.073
297.5,0.069
298,0.065
298.5,0.06
299,0.056
299.5,0.052
300,0.048
300.5,0.045
301,0.041
301.5,0.036
302,0.033
302.5,0.031
303,0.029
303.5,0.028
304,0.026
304.5,0.023
305,0.019
305.5,0.017
306,0.016
306.5,0.014
307,0.014
307.5,0.013
308,0.012
308.5,0.011
309,0.011
309.5,0.01
310,0.009
310.5,0.007
311,0.007
311.5,0.006
312,0.007
312.5,0.008
313,0.009
313.5,0.008
314,0.008
314.5,0.008
315,0.007
315.5,0.007
316,0.007
316.5,0.006
317,0.007
317.5,0.007
318,0.006
318.5,0.006
319,0.008
319.5,0.008
320,0.008
320.5,0.007
321,0.007
321.5,0.005
322,0.005
322.5,0.005
323,0.005
323.5,0.004
324,0.004
324.5,0.005
325,0.004
325.5,0.005
326,0.005
326.5,0.005
327,0.005
327.5,0.005
328,0.005
328.5,0.004
329,0.004
329.5,0.004
330,0.004
330.5,0.002
331,0.002
331.5,0.003
332,0.002
332.5,0.001
333,0.001
333.5,0.001
334,0.001
334.5,0.001
335,0.001
335.5,-0.001
336,-0.001
336.5,0.001
337,0
337.5,0
338,0
338.5,0.001
339,-0.001
339.5,-0.001
340,0
340.5,0
341,-0.001
341.5,-0.002
342,-0.002
342.5,-0.003
343,-0.002
343.5,-0.001
344,-0.002
344.5,-0.004
345,-0.003
345.5,-0.002
346,-0.002
346.5,-0.003
347,-0.002
347.5,-0.002
348,-0.002
348.5,-0.001
349,-0.001
349.5,-0.001
350,-0.002
