Sample 1
4/26/2024 1:38 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	-0.01000	
//WLCalib: 261S 	-0.34000	
//WLCalib: 362S 	-0.30000	
//WLCalib: 484S 	-0.22000	
//WLCalib: 529S 	0.04000	
//WLCalib: 823S 	-0.35000	
//QSpecEnd: 
220.0	0.967
220.5	0.937
221.0	0.915
221.5	0.895
222.0	0.872
222.5	0.850
223.0	0.828
223.5	0.808
224.0	0.786
224.5	0.767
225.0	0.744
225.5	0.727
226.0	0.714
226.5	0.706
227.0	0.696
227.5	0.688
228.0	0.680
228.5	0.673
229.0	0.666
229.5	0.661
230.0	0.656
230.5	0.652
231.0	0.647
231.5	0.642
232.0	0.636
232.5	0.631
233.0	0.626
233.5	0.620
234.0	0.615
234.5	0.612
235.0	0.610
235.5	0.611
236.0	0.611
236.5	0.614
237.0	0.617
237.5	0.621
238.0	0.627
238.5	0.634
239.0	0.641
239.5	0.649
240.0	0.657
240.5	0.664
241.0	0.669
241.5	0.674
242.0	0.679
242.5	0.685
243.0	0.692
243.5	0.701
244.0	0.710
244.5	0.718
245.0	0.726
245.5	0.734
246.0	0.742
246.5	0.750
247.0	0.756
247.5	0.764
248.0	0.771
248.5	0.778
249.0	0.785
249.5	0.793
250.0	0.800
250.5	0.805
251.0	0.812
251.5	0.818
252.0	0.824
252.5	0.828
253.0	0.832
253.5	0.836
254.0	0.839
254.5	0.844
255.0	0.845
255.5	0.846
256.0	0.848
256.5	0.848
257.0	0.845
257.5	0.843
258.0	0.841
258.5	0.839
259.0	0.837
259.5	0.834
260.0	0.833
260.5	0.831
261.0	0.830
261.5	0.826
262.0	0.823
262.5	0.819
263.0	0.815
263.5	0.809
264.0	0.802
264.5	0.794
265.0	0.785
265.5	0.776
266.0	0.767
266.5	0.759
267.0	0.751
267.5	0.740
268.0	0.730
268.5	0.720
269.0	0.711
269.5	0.701
270.0	0.692
270.5	0.682
271.0	0.672
271.5	0.663
272.0	0.653
272.5	0.643
273.0	0.632
273.5	0.621
274.0	0.609
274.5	0.599
275.0	0.589
275.5	0.577
276.0	0.563
276.5	0.550
277.0	0.537
277.5	0.522
278.0	0.508
278.5	0.495
279.0	0.479
279.5	0.466
280.0	0.454
280.5	0.441
281.0	0.429
281.5	0.418
282.0	0.404
282.5	0.391
283.0	0.379
283.5	0.368
284.0	0.355
284.5	0.343
285.0	0.333
285.5	0.322
286.0	0.311
286.5	0.300
287.0	0.287
287.5	0.273
288.0	0.261
288.5	0.249
289.0	0.237
289.5	0.225
290.0	0.213
290.5	0.200
291.0	0.187
291.5	0.174
292.0	0.163
292.5	0.151
293.0	0.141
293.5	0.132
294.0	0.122
294.5	0.113
295.0	0.104
295.5	0.095
296.0	0.086
296.5	0.079
297.0	0.073
297.5	0.069
298.0	0.065
298.5	0.060
299.0	0.056
299.5	0.052
300.0	0.048
300.5	0.045
301.0	0.041
301.5	0.036
302.0	0.033
302.5	0.031
303.0	0.029
303.5	0.028
304.0	0.026
304.5	0.023
305.0	0.019
305.5	0.017
306.0	0.016
306.5	0.014
307.0	0.014
307.5	0.013
308.0	0.012
308.5	0.011
309.0	0.011
309.5	0.010
310.0	0.009
310.5	0.007
311.0	0.007
311.5	0.006
312.0	0.007
312.5	0.008
313.0	0.009
313.5	0.008
314.0	0.008
314.5	0.008
315.0	0.007
315.5	0.007
316.0	0.007
316.5	0.006
317.0	0.007
317.5	0.007
318.0	0.006
318.5	0.006
319.0	0.008
319.5	0.008
320.0	0.008
320.5	0.007
321.0	0.007
321.5	0.005
322.0	0.005
322.5	0.005
323.0	0.005
323.5	0.004
324.0	0.004
324.5	0.005
325.0	0.004
325.5	0.005
326.0	0.005
326.5	0.005
327.0	0.005
327.5	0.005
328.0	0.005
328.5	0.004
329.0	0.004
329.5	0.004
330.0	0.004
330.5	0.002
331.0	0.002
331.5	0.003
332.0	0.002
332.5	0.001
333.0	0.001
333.5	0.001
334.0	0.001
334.5	0.001
335.0	0.001
335.5	-0.001
336.0	-0.001
336.5	0.001
337.0	0.000
337.5	0.000
338.0	0.000
338.5	0.001
339.0	-0.001
339.5	-0.001
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	-0.002
342.0	-0.002
342.5	-0.003
343.0	-0.002
343.5	-0.001
344.0	-0.002
344.5	-0.004
345.0	-0.003
345.5	-0.002
346.0	-0.002
346.5	-0.003
347.0	-0.002
347.5	-0.002
348.0	-0.002
348.5	-0.001
349.0	-0.001
349.5	-0.001
350.0	-0.002

