Extraction Tube ID Top,Input Sample weight  (mg),Yield (ng),Batch_number,260/280,260/230
E01_HG39,28.9,8400,1,2.0,2.2
E02_HG15,8.2,540,1,2.0,1.7
E03_HG36,5,493.5,1,1.9,2.1
E04_HG30,13.4,4750,1,2.0,2.3
E05_HG29,15.8,4700,1,2.0,2.3
E06_HG33,8,1940,1,1.9,2.0
E07_HG62,10.3,2220,1,2.0,2.3
E08_HG77,3,120,1,1.7,2.7
E09_HG24,2.7,100,1,1.8,2.0
E10_HG22,7.7,1790,1,2.0,2.2
E11_HG67,2.4,710,1,1.9,1.7
E12_HG27,6.2,3450,1,2.0,2.1
E13_HG72,3.5,1790,2.5,2.0,2.2
E14_HG14,9.6,4160,2,2.0,2.2
E15_HG21,7.3,2210,2,2.0,2.2
E16_HG17,14.2,5800,2,2.0,2.2
E17_HG64,2.9,3050,2.5,1.9,2.1
E18_HG53,4,1445,2,2.0,2.1
E19_HG78,4.3,4900,2.5,2.0,2.3
E20_HG34,5.7,2140,2,2.0,2.1
E21_HG70,3.1,2045,2.5,2.0,2.2
E22_HG23,16.7,6300,2,2.0,2.2
E23_HG02,4,1545,2,2.0,1.8
E24_HG16,8.8,6100,2,2.0,2.2
E25_HG42,3.4,1960,3,2.0,2.1
E26_HG31,6.5,3840,3,1.9,1.9
E27_HG75,13.7,10140,3,2.0,2.3
E28_HG71,4.3,1400,3,1.9,2.1
E29_HG47,2.6,1170,3,1.9,2.1
E30_HG74,15.9,11550,3,2.0,2.2
E31_HG19,4.4,3200,3,2.0,2.3
E32_HG58,20.8,12450,3,2.0,2.2
E33_HG69,2,1220,3,2.0,1.6
E34_HG12,6,3740,3,2.0,2.3
E35_HG20,6.2,4200,3,2.0,1.9
E36_HG73,11.8,3190,3,2.0,2.1
E37_HG10,4.68,2800,4,2.0,1.5
E38_HG37,30.98,17250,4,2.0,2.2
E39_HG46,3.85,2415,4,1.9,1.5
E40_HG07,5.04,3150,4,2.0,1.9
E41_HG76,14.7,15151.2,4,2.0,2.1
E42_HG80,2.1,1160,4,1.9,1.7
E43_HG81,1.77,1745,4,1.9,2.2
E44_HG61,7.38,5850,4,2.0,2.2
E45_HG03,6.09,4665,4,2.0,1.7
E46_HG68,5.13,2390,4,1.9,2.1
E47_HG79,2.5,1955,4,1.9,2.2
E48_HG52,2.52,1500,4,1.9,2.1
E49_HG60,14.02,9600,5,2.0,2.2
E50_HG41,2.05,2320,5,2.0,1.2
E51_HG44,4.51,2400,5,2.0,2.2
E52_HG11,6.14,6870,5,2.0,1.1
E53_HG82,2.81,1750,5,2.0,2.0
E54_HG28,5.94,6915,5,2.0,0.9
E55_HG25,1.75,1665,5,1.9,2.2
E56_HG65,1.93,2465,5,1.9,2.3
E57_HG57,2.6,2500,5,2.0,2.4
E58_HG08,3.75,4050,5,2.0,2.2
E59_HG01,7.5,6015,5,2.0,2.3
E60_HG54,0.8,845,5,1.9,1.8
E61_HG35,2,1665,6,1.9,2.3
E62_HG63,6.5,3700,6,1.9,2.2
E63_HG18,9.07,10350,6,2.0,1.6
E64_HG05,8.99,8700,6,2.0,2.1
E65_HG49,1.4,1505,6,1.9,0.8
E66_HG56,5.8,5430,6,1.9,2.1
E67_HG83,1.6,1830,6,1.9,1.9
E68_HG32,4,3350,6,1.9,2.1
E69_HG04,2.5,2480,6,1.9,2.3
E70_HG38,4.93,4500,6,1.9,2.3
E71_HG59,19.37,12900,6,2.0,2.3
E72_HG50,5.6,4100,6,1.9,2.3
E73_HG13,4.4,4250,7,1.9,1.7
E74_HG26,1.08,1420,7,1.9,2.3
E75_HG06,6.5,3600,7,1.9,2.3
E76_HG51,7.4,4300,7,1.9,2.2
E77_HG48,2,2260,7,1.9,1.2
E78_HG55,11.75,9600,7,1.9,2.2
E79_HG40,5.6,5445,7,1.9,2.2
E80_HG45,3.5,3500,7,1.9,2.3
E81_HG43,7.8,6210,7,1.9,2.3
E82_HG09,6.2,6405,7,1.9,2.3
E83_HG66,2.2,2170,7,1.9,2.4
